iter	Passed	Remaining
0	5	5499
1	10	5424
2	15	5221
3	24	6190
4	34	6796
5	43	7204
6	50	7101
7	58	7310
8	67	7444
9	79	7845
10	87	7882
11	92	7592
12	99	7590
13	109	7706
14	116	7679
15	123	7607
16	139	8044
17	145	7956
18	166	8598
19	177	8685
20	187	8735
21	203	9063
22	208	8864
23	221	8991
24	232	9079
25	243	9136
26	253	9119
27	262	9100
28	267	8966
29	275	8900
30	283	8863
31	294	8905
32	306	8970
33	315	8969
34	333	9183
35	344	9213
36	361	9397
37	371	9393
38	387	9549
39	394	9479
40	398	9316
41	411	9394
42	416	9268
43	427	9289
44	440	9358
45	450	9348
46	462	9376
47	471	9360
48	482	9373
49	493	9375
50	502	9352
51	517	9443
52	533	9531
53	555	9732
54	573	9852
55	588	9917
56	598	9906
57	607	9873
58	613	9778
59	617	9674
60	622	9579
61	626	9475
62	632	9414
63	640	9372
64	649	9336
65	658	9323
66	668	9312
67	675	9251
68	678	9159
69	683	9081
70	689	9025
71	696	8978
72	700	8897
73	705	8827
74	711	8774
75	720	8762
76	729	8750
77	738	8730
78	748	8724
79	757	8705
80	767	8710
81	776	8694
82	784	8669
83	794	8660
84	805	8673
85	814	8656
86	826	8670
87	836	8664
88	846	8661
89	856	8655
90	865	8641
91	873	8619
92	881	8598
93	891	8595
94	901	8589
95	909	8565
96	921	8581
97	931	8577
98	941	8572
99	952	8573
100	960	8551
101	972	8560
102	982	8556
103	991	8539
104	1001	8534
105	1010	8519
106	1020	8516
107	1029	8504
108	1038	8492
109	1047	8476
110	1057	8470
111	1066	8452
112	1076	8453
113	1086	8441
114	1094	8422
115	1102	8404
116	1112	8398
117	1121	8385
118	1129	8365
119	1140	8362
120	1148	8345
121	1157	8330
122	1168	8333
123	1177	8317
124	1185	8298
125	1195	8294
126	1204	8281
127	1212	8262
128	1222	8252
129	1230	8238
130	1240	8230
131	1247	8204
132	1257	8195
133	1264	8169
134	1275	8174
135	1286	8173
136	1296	8167
137	1308	8176
138	1318	8167
139	1328	8159
140	1337	8148
141	1348	8148
142	1359	8144
143	1368	8135
144	1376	8119
145	1388	8122
146	1397	8110
147	1407	8104
148	1411	8059
149	1416	8024
150	1428	8031
151	1436	8014
152	1446	8009
153	1456	8002
154	1460	7960
